"","date","treatment","interpolation","exp_flux","exp_flux_se","gCday"
"1",2017-10-06,"C","loess",2.07721684468944,0.899064242399559,2.15563261146321
"2",2017-10-07,"C","loess",2.05660247573404,0.886271174821036,2.13424004183399
"3",2017-10-08,"C","loess",2.03629476065371,0.873676602752249,2.11316570238629
"4",2017-10-09,"C","loess",2.01629305230284,0.861281830500169,2.09240892154449
"5",2017-10-10,"C","loess",1.99659670353584,0.849088181692643,2.071969027733
"6",2017-10-11,"C","loess",1.97720506720708,0.837096997001562,2.05184534937618
"7",2017-10-12,"C","loess",1.95811749617097,0.825309631581431,2.03203721489843
"8",2017-10-13,"C","loess",1.9393333432819,0.8137274522059,2.01254395272413
"9",2017-10-14,"C","loess",1.92085196139426,0.802351834085147,1.99336489127768
"10",2017-10-15,"C","loess",1.90267270336244,0.79118415734748,1.97449935898345
"11",2017-10-16,"C","loess",1.88479492204083,0.780225803169386,1.95594668426584
"12",2017-10-17,"C","loess",1.86721797028383,0.769478149539331,1.93770619554924
"13",2017-10-18,"C","loess",1.84994120094583,0.758942566642141,1.91977722125802
"14",2017-10-19,"C","loess",1.83296396688122,0.748620411852631,1.90215908981658
"15",2017-10-20,"C","loess",1.8162856209444,0.738513024329439,1.8848511296493
"16",2017-10-21,"C","loess",1.79990551598975,0.728621719202777,1.86785266918057
"17",2017-10-22,"C","loess",1.78382300487167,0.718947781353022,1.85116303683478
"18",2017-10-23,"C","loess",1.76803744044455,0.709492458780755,1.83478156103631
"19",2017-10-24,"C","loess",1.75254817556279,0.700256955573131,1.81870757020955
"20",2017-10-25,"C","loess",1.73735456308077,0.691242424476145,1.80294039277889
"21",2017-10-26,"C","loess",1.72245595585289,0.682449959087617,1.78747935716872
"22",2017-10-27,"C","loess",1.70785170673354,0.673880585691436,1.77232379180341
"23",2017-10-28,"C","loess",1.69354116857711,0.665535254759742,1.75747302510737
"24",2017-10-29,"C","loess",1.679523694238,0.657414832156263,1.74292638550497
"25",2017-10-30,"C","loess",1.6657986365706,0.649520090080898,1.7286832014206
"26",2017-10-31,"C","loess",1.6523653484293,0.641851697802648,1.71474280127865
"27",2017-11-01,"C","loess",1.6392231826685,0.634410212235222,1.7011045135035
"28",2017-11-02,"C","loess",1.62637149214257,0.627196068416735,1.68776766651955
"29",2017-11-03,"C","loess",1.61380962970593,0.620209569961884,1.67473158875118
"30",2017-11-04,"C","loess",1.60153694821296,0.613450879561603,1.66199560862278
"31",2017-11-05,"C","loess",1.58955280051805,0.606920009611229,1.64955905455873
"32",2017-11-06,"C","loess",1.5778565394756,0.600616813053606,1.63742125498342
"33",2017-11-07,"C","loess",1.56644751793999,0.594540974527946,1.62558153832123
"34",2017-11-08,"C","loess",1.55532508876563,0.58869200191859,1.61403923299656
"35",2017-11-09,"C","loess",1.54448860480689,0.583069218399879,1.60279366743379
"36",2017-11-10,"C","loess",1.53393741891818,0.577671755073855,1.59184417005731
"37",2017-11-11,"C","loess",1.5236708839539,0.572498544296532,1.58119006929151
"38",2017-11-12,"C","loess",1.51368835276842,0.567548313785706,1.57083069356076
"39",2017-11-13,"C","loess",1.50398917821614,0.562819581598765,1.56076537128947
"40",2017-11-14,"C","loess",1.49457271315146,0.558310652062621,1.55099343090201
"41",2017-11-15,"C","loess",1.48543831042876,0.554019612729767,1.54151420082277
"42",2017-11-16,"C","loess",1.47658532290245,0.549944332424671,1.53232700947615
"43",2017-11-17,"C","loess",1.46801310342691,0.546082460433279,1.52343118528651
"44",2017-11-18,"C","loess",1.45972100485653,0.542431426875676,1.51482605667826
"45",2017-11-19,"C","loess",1.45170838004571,0.538988444287992,1.50651095207579
"46",2017-11-20,"C","loess",1.44397458184884,0.535750510424852,1.49848519990346
"47",2017-11-21,"C","loess",1.43651896312031,0.532714412278326,1.49074812858569
"48",2017-11-22,"C","loess",1.42934087671452,0.529876731293745,1.48329906654684
"49",2017-11-23,"C","loess",1.42243967548585,0.527233849747345,1.47613734221131
"50",2017-11-24,"C","loess",1.4158147122887,0.524781958235754,1.46926228400349
"51",2017-11-25,"C","loess",1.40946533997747,0.522517064213221,1.46267322034775
"52",2017-11-26,"C","loess",1.40339091140654,0.520435001499591,1.4563694796685
"53",2017-11-27,"C","loess",1.3975907794303,0.51853144067048,1.45035039039011
"54",2017-11-28,"C","loess",1.39206429690316,0.51680190023133,1.44461528093697
"55",2017-11-29,"C","loess",1.38681081667949,0.515241758469041,1.43916347973347
"56",2017-11-30,"C","loess",1.3818296916137,0.513846265868965,1.433994315204
"57",2017-12-01,"C","loess",1.37712027456018,0.512610557981126,1.42910711577294
"58",2017-12-02,"C","loess",1.37268191837332,0.511529668617738,1.42450120986468
"59",2017-12-03,"C","loess",1.36851397590751,0.510598543264321,1.4201759259036
"60",2017-12-04,"C","loess",1.36461580001714,0.509812052588823,1.4161305923141
"61",2017-12-05,"C","loess",1.36098674355661,0.509165005937102,1.41236453752056
"62",2017-12-06,"C","loess",1.3576261593803,0.508652164708578,1.40887708994737
"63",2017-12-07,"C","loess",1.35453340034262,0.50826825551279,1.40566757801891
"64",2017-12-08,"C","loess",1.35170781929795,0.508007983015519,1.40273533015958
"65",2017-12-09,"C","loess",1.34914876910069,0.507866042392094,1.40007967479375
"66",2017-12-10,"C","loess",1.34685560260523,0.507837131314971,1.39769994034581
"67",2017-12-11,"C","loess",1.34482767266595,0.507915961412609,1.39559545524016
"68",2017-12-12,"C","loess",1.34306433213726,0.50809726914675,1.39376554790118
"69",2017-12-13,"C","loess",1.34156493387355,0.508375826065229,1.39220954675325
"70",2017-12-14,"C","loess",1.3403288307292,0.508746448397263,1.39092678022076
"71",2017-12-15,"C","loess",1.33935537555862,0.50920400596754,1.38991657672811
"72",2017-12-16,"C","loess",1.33864392121619,0.509743430414342,1.38917826469967
"73",2017-12-17,"C","loess",1.3381938205563,0.51035972270513,1.38871117255983
"74",2017-12-18,"C","loess",1.33800442643336,0.511047959950584,1.38851462873298
"75",2017-12-19,"C","loess",1.33807509170174,0.511803301524817,1.38858796164352
"76",2017-12-20,"C","loess",1.33840516921584,0.512620994505446,1.38893049971581
"77",2017-12-21,"C","loess",1.33899401183007,0.513496378452372,1.38954157137425
"78",2017-12-22,"C","loess",1.33984097239879,0.514424889548441,1.39042050504324
"79",2017-12-23,"C","loess",1.34094540377642,0.515402064128792,1.39156662914715
"80",2017-12-24,"C","loess",1.34230665881735,0.516423541628514,1.39297927211036
"81",2017-12-25,"C","loess",1.34392409037595,0.517485066980438,1.39465776235728
"82",2017-12-26,"C","loess",1.34579705130664,0.518582492496401,1.39660142831228
"83",2017-12-27,"C","loess",1.34792489446379,0.51971177926634,1.39880959839976
"84",2017-12-28,"C","loess",1.35030697270181,0.520868998109989,1.40128160104409
"85",2017-12-29,"C","loess",1.35294263887508,0.522050330116008,1.40401676466967
"86",2017-12-30,"C","loess",1.355831245838,0.523252066802988,1.40701441770088
"87",2017-12-31,"C","loess",1.35897214644496,0.524470609936093,1.41027388856212
"88",2018-01-01,"C","loess",1.36236469355035,0.525702471032125,1.41379450567776
"89",2018-01-02,"C","loess",1.36600824000857,0.526944270584613,1.41757559747219
"90",2018-01-03,"C","loess",1.369902138674,0.528192737039178,1.4216164923698
"91",2018-01-04,"C","loess",1.37404574240105,0.529444705547921,1.42591651879498
"92",2018-01-05,"C","loess",1.37843840404409,0.530697116530017,1.43047500517212
"93",2018-01-06,"C","loess",1.38307947645753,0.531947014064039,1.43529127992559
"94",2018-01-07,"C","loess",1.38796831249576,0.533191544135893,1.4403646714798
"95",2018-01-08,"C","loess",1.39310426501316,0.534427952764535,1.44569450825912
"96",2018-01-09,"C","loess",1.39848668686414,0.535653584026035,1.45128011868794
"97",2018-01-10,"C","loess",1.40411493090308,0.536865877994877,1.45712083119065
"98",2018-01-11,"C","loess",1.40998834998438,0.538062368619843,1.46321597419163
"99",2018-01-12,"C","loess",1.41610629696243,0.539240681550317,1.46956487611528
"100",2018-01-13,"C","loess",1.42246812469162,0.540398531927356,1.47616686538598
"101",2018-01-14,"C","loess",1.42907318602634,0.541533722152562,1.48302127042811
"102",2018-01-15,"C","loess",1.43592083382099,0.54264413964643,1.49012741966607
"103",2018-01-16,"C","loess",1.44301042092996,0.54372775460667,1.49748464152423
"104",2018-01-17,"C","loess",1.45034130020764,0.544782617775846,1.505092264427
"105",2018-01-18,"C","loess",1.45791282450842,0.545806858226631,1.51294961679875
"106",2018-01-19,"C","loess",1.4657243466867,0.54679868117198,1.52105602706386
"107",2018-01-20,"C","loess",1.47392894229333,0.547691367184651,1.52957034943648
"108",2018-01-21,"C","loess",1.48267506564692,0.548419910761963,1.53864664244512
"109",2018-01-22,"C","loess",1.49195513775347,0.548985478381145,1.54827704098572
"110",2018-01-23,"C","loess",1.50176157961902,0.549389656157429,1.55845367995427
"111",2018-01-24,"C","loess",1.51208681224956,0.549634419015198,1.56916869424671
"112",2018-01-25,"C","loess",1.52292325665113,0.549722102336065,1.58041421875901
"113",2018-01-26,"C","loess",1.53426333382972,0.549655375850711,1.59218238838713
"114",2018-01-27,"C","loess",1.54609946479137,0.549437219558192,1.60446533802703
"115",2018-01-28,"C","loess",1.55842407054209,0.549070901472445,1.61725520257468
"116",2018-01-29,"C","loess",1.57122957208788,0.548559957010575,1.63054411692603
"117",2018-01-30,"C","loess",1.58450839043478,0.547908169851363,1.64432421597705
"118",2018-01-31,"C","loess",1.59825294658878,0.547119554105117,1.65858763462369
"119",2018-02-01,"C","loess",1.61245566155592,0.546198337647682,1.67332650776192
"120",2018-02-02,"C","loess",1.6271089563422,0.545148946482043,1.6885329702877
"121",2018-02-03,"C","loess",1.64220525195364,0.543975990000646,1.70419915709699
"122",2018-02-04,"C","loess",1.65773696939626,0.542684247030391,1.72031720308576
"123",2018-02-05,"C","loess",1.67369652967608,0.541278652550197,1.73687924314996
"124",2018-02-06,"C","loess",1.6900763537991,0.539764284978362,1.75387741218555
"125",2018-02-07,"C","loess",1.70686886277134,0.538146353933507,1.77130384508851
"126",2018-02-08,"C","loess",1.72406647759883,0.536430188379012,1.78915067675478
"127",2018-02-09,"C","loess",1.74166161928757,0.534621225066384,1.80741004208033
"128",2018-02-10,"C","loess",1.75964670884359,0.532724997198217,1.82607407596112
"129",2018-02-11,"C","loess",1.77801416727289,0.5307471232363,1.84513491329311
"130",2018-02-12,"C","loess",1.7967564155815,0.528693295785057,1.86458468897227
"131",2018-02-13,"C","loess",1.81586587477543,0.526569270485062,1.88441553789455
"132",2018-02-14,"C","loess",1.83533496586069,0.52438085485582,1.90461959495592
"133",2018-02-15,"C","loess",1.8551561098433,0.522133897031505,1.92518899505233
"134",2018-02-16,"C","loess",1.87532172772928,0.519834274337913,1.94611587307976
"135",2018-02-17,"C","loess",1.89582424052465,0.51748788166371,1.96739236393415
"136",2018-02-18,"C","loess",1.91665606923541,0.515100619584017,1.98901060251148
"137",2018-02-19,"C","loess",1.93780963486759,0.512678382199747,2.0109627237077
"138",2018-02-20,"C","loess",1.9592773584272,0.510227044661825,2.03324086241877
"139",2018-02-21,"C","loess",1.98105166092026,0.507752450355552,2.05583715354067
"140",2018-02-22,"C","loess",2.00312496335278,0.505260397726993,2.07874373196933
"141",2018-02-23,"C","loess",2.02548968673078,0.502756626740423,2.10195273260074
"142",2018-02-24,"C","loess",2.04813825206027,0.500246804963445,2.12545629033085
"143",2018-02-25,"C","loess",2.07106308034728,0.497736513284625,2.14924654005562
"144",2018-02-26,"C","loess",2.09425659259781,0.495231231277086,2.17331561667101
"145",2018-02-27,"C","loess",2.11771120981788,0.492736322230649,2.19765565507299
"146",2018-02-28,"C","loess",2.14141935301351,0.490257017884625,2.22225879015751
"147",2018-03-01,"C","loess",2.16537344319071,0.487798402903173,2.24711715682054
"148",2018-03-02,"C","loess",2.1895659013555,0.485365399145139,2.27222288995804
"149",2018-03-03,"C","loess",2.2139891485139,0.482962749790419,2.29756812446596
"150",2018-03-04,"C","loess",2.23863560567192,0.480595003394787,2.32314499524028
"151",2018-03-05,"C","loess",2.26349769383558,0.478266497954899,2.34894563717695
"152",2018-03-06,"C","loess",2.28856783401089,0.475981345074308,2.37496218517193
"153",2018-03-07,"C","loess",2.31383844720387,0.473743414329859,2.40118677412119
"154",2018-03-08,"C","loess",2.33930195442053,0.471556317945379,2.42761153892069
"155",2018-03-09,"C","loess",2.3649507766669,0.469423395885951,2.45422861446638
"156",2018-03-10,"C","loess",2.39077733494898,0.467347701491066,2.48103013565424
"157",2018-03-11,"C","loess",2.41677405027279,0.465331987768325,2.50800823738021
"158",2018-03-12,"C","loess",2.44293334364436,0.463378694470961,2.53515505454027
"159",2018-03-13,"C","loess",2.46924763606968,0.461489936082064,2.56246272203037
"160",2018-03-14,"C","loess",2.49570934855479,0.459667490825943,2.58992337474647
"161",2018-03-15,"C","loess",2.52231090210569,0.457912790822467,2.61752914758454
"162",2018-03-16,"C","loess",2.54904471772841,0.45622691349341,2.64527217544054
"163",2018-03-17,"C","loess",2.57590321642895,0.454610574320956,2.67314459321043
"164",2018-03-18,"C","loess",2.60287881921334,0.453064121047552,2.70113853579017
"165",2018-03-19,"C","loess",2.62996394708758,0.4515875293935,2.72924613807572
"166",2018-03-20,"C","loess",2.6571510210577,0.450180400354249,2.75745953496304
"167",2018-03-21,"C","loess",2.68443246212972,0.448841959123557,2.7857708613481
"168",2018-03-22,"C","loess",2.71180069130964,0.447571055671868,2.81417225212685
"169",2018-03-23,"C","loess",2.73924812960348,0.446366166991789,2.84265584219526
"170",2018-03-24,"C","loess",2.76676719801726,0.445225401004842,2.87121376644929
"171",2018-03-25,"C","loess",2.79435031755699,0.444146502106054,2.8998381597849
"172",2018-03-26,"C","loess",2.8219899092287,0.44312685830596,2.92852115709805
"173",2018-03-27,"C","loess",2.84967839403839,0.4421635099135,2.9572548932847
"174",2018-03-28,"C","loess",2.87740819299209,0.441253159688547,2.98603150324082
"175",2018-03-29,"C","loess",2.9051717270958,0.44039218437968,3.01484312186236
"176",2018-03-30,"C","loess",2.93296141735555,0.439576647551615,3.04368188404529
"177",2018-03-31,"C","loess",2.96076968477735,0.438802313597647,3.07253992468557
"178",2018-04-01,"C","loess",2.98858895036721,0.438064662825697,3.10140937867915
"179",2018-04-02,"C","loess",3.01641163513115,0.437358907502158,3.13028238092201
"180",2018-04-03,"C","loess",3.0442301600752,0.436680008735821,3.1591510663101
"181",2018-04-04,"C","loess",3.07203694620535,0.436022694084572,3.18800756973938
"182",2018-04-05,"C","loess",3.09982441452764,0.435381475770335,3.21684402610582
"183",2018-04-06,"C","loess",3.12758498604807,0.434750669392715,3.24565257030538
"184",2018-04-07,"C","loess",3.15531108177266,0.434124413038752,3.27442533723401
"185",2018-04-08,"C","loess",3.18299512270743,0.433496686695085,3.30315446178768
"186",2018-04-09,"C","loess",3.21062952985839,0.432861331879289,3.33183207886235
"187",2018-04-10,"C","loess",3.23820672423156,0.432212071419077,3.36045032335399
"188",2018-04-11,"C","loess",3.26571912683295,0.431542529321239,3.38900133015855
"189",2018-04-12,"C","loess",3.29315915866858,0.430846250686358,3.41747723417199
"190",2018-04-13,"C","loess",3.32051924074448,0.430116721640428,3.44587017029028
"191",2018-04-14,"C","loess",3.34779179406664,0.429347389270303,3.47417227340937
"192",2018-04-15,"C","loess",3.37496923964109,0.428531681566307,3.50237567842524
"193",2018-04-16,"C","loess",3.40204399847384,0.427663027392308,3.53047252023383
"194",2018-04-17,"C","loess",3.42900849157092,0.426734876521064,3.55845493373112
"195",2018-04-18,"C","loess",3.45585513993833,0.425740719790673,3.58631505381306
"196",2018-04-19,"C","loess",3.48257636458209,0.424674109456603,3.61404501537561
"197",2018-04-20,"C","loess",3.50916458650822,0.423528679833184,3.64163695331474
"198",2018-04-21,"C","loess",3.53561222672273,0.422298168338669,3.6690830025264
"199",2018-04-22,"C","loess",3.56191170623164,0.420976437079395,3.69637529790657
"200",2018-04-23,"C","loess",3.58805544604097,0.41955749513133,3.72350597435119
"201",2018-04-24,"C","loess",3.61403586715672,0.418035521701777,3.75046716675624
"202",2018-04-25,"C","loess",3.63984539058493,0.416404890380627,3.77725101001766
"203",2018-04-26,"C","loess",3.66547643733159,0.414660194719673,3.80384963903144
"204",2018-04-27,"C","loess",3.69092142840274,0.412796275410727,3.83025518869351
"205",2018-04-28,"C","loess",3.71617278480438,0.410808249369113,3.85645979389986
"206",2018-04-29,"C","loess",3.74122292754253,0.408691541069225,3.88245558954643
"207",2018-04-30,"C","loess",3.7660642776232,0.406441916523919,3.90823471052919
"208",2018-05-01,"C","loess",3.79068925605242,0.404055520350285,3.9337892917441
"209",2018-05-02,"C","loess",3.81509028383619,0.401528916421669,3.95911146808712
"210",2018-05-03,"C","loess",3.83925978198054,0.398859132670453,3.98419337445422
"211",2018-05-04,"C","loess",3.86319017149148,0.396043710678884,4.00902714574135
"212",2018-05-05,"C","loess",3.8871385664535,0.393006338529033,4.03387960219254
"213",2018-05-06,"C","loess",3.91135090550884,0.389686984738804,4.05900596673216
"214",2018-05-07,"C","loess",3.93580284650015,0.38610922427944,4.08438097827667
"215",2018-05-08,"C","loess",3.96047004727007,0.382298122065036,4.10997937574253
"216",2018-05-09,"C","loess",3.98532816566124,0.378280111598952,4.13577589804622
"217",2018-05-10,"C","loess",4.01035285951632,0.374082879463297,4.1617452841042
"218",2018-05-11,"C","loess",4.03551978667794,0.369735251354476,4.18786227283294
"219",2018-05-12,"C","loess",4.06080460498875,0.365267075354525,4.21410160314891
"220",2018-05-13,"C","loess",4.08618297229139,0.360709098083119,4.24043801396858
"221",2018-05-14,"C","loess",4.11163054642851,0.356092829332285,4.26684624420841
"222",2018-05-15,"C","loess",4.13712298524276,0.351450390787131,4.29330103278487
"223",2018-05-16,"C","loess",4.16263594657677,0.346814344532582,4.31977711861442
"224",2018-05-17,"C","loess",4.18814508827319,0.342217497298348,4.34624924061354
"225",2018-05-18,"C","loess",4.21362606817467,0.33769267686922,4.37269213769869
"226",2018-05-19,"C","loess",4.23905454412385,0.333272477854482,4.39908054878634
"227",2018-05-20,"C","loess",4.26440617396337,0.328988975132727,4.42538921279296
"228",2018-05-21,"C","loess",4.28965661553589,0.324873404814445,4.45159286863501
"229",2018-05-22,"C","loess",4.31478152668403,0.320955814511837,4.47766625522897
"230",2018-05-23,"C","loess",4.33975656525046,0.317264687044645,4.50358411149129
"231",2018-05-24,"C","loess",4.36455738907781,0.313826544352773,4.52932117633845
"232",2018-05-25,"C","loess",4.38915965600872,0.310665541169665,4.55485218868691
"233",2018-05-26,"C","loess",4.41353902388585,0.30780306070104,4.58015188745315
"234",2018-05-27,"C","loess",4.43767115055183,0.305257326858256,4.60519501155362
"235",2018-05-28,"C","loess",4.46153169384931,0.303043049190463,4.6299562999048
"236",2018-05-29,"C","loess",4.48509631162094,0.301171117236852,4.65441049142315
"237",2018-05-30,"C","loess",4.50834066170935,0.299648360342751,4.67853232502515
"238",2018-05-31,"C","loess",4.5312404019572,0.298477386941668,4.70229653962725
"239",2018-06-01,"C","loess",4.55377119020713,0.297656513959228,4.72567787414592
"240",2018-06-02,"C","loess",4.57590868430178,0.297179792588224,4.74865106749764
"241",2018-06-03,"C","loess",4.5976285420838,0.29703713162411,4.77119085859888
"242",2018-06-04,"C","loess",4.61890642139582,0.29721451435293,4.79327198636608
"243",2018-06-05,"C","loess",4.63971798008051,0.297694300192352,4.81486918971574
"244",2018-06-06,"C","loess",4.66098622457225,0.298322458129892,4.83694031894434
"245",2018-06-07,"C","loess",4.6834074832136,0.298974436797953,4.8602079890679
"246",2018-06-08,"C","loess",4.70661739670939,0.299678371871056,4.88429408608213
"247",2018-06-09,"C","loess",4.73025160576449,0.300464453584763,4.90882049598274
"248",2018-06-10,"C","loess",4.75394575108374,0.301361696430047,4.93340910476545
"249",2018-06-11,"C","loess",4.777335473372,0.302395859399966,4.95768179842598
"250",2018-06-12,"C","loess",4.80005641333412,0.303588515341594,4.98126046296005
"251",2018-06-13,"C","loess",4.82174421167495,0.304957263044154,5.00376698436336
"252",2018-06-14,"C","loess",4.84363570934503,0.306332449091629,5.02648489482709
"253",2018-06-15,"C","loess",4.86690488631567,0.307581042393776,5.05063249253604
"254",2018-06-16,"C","loess",4.89109309182285,0.30877276720165,5.0757338124764
"255",2018-06-17,"C","loess",4.91574167510255,0.309968744605095,5.10131288963434
"256",2018-06-18,"C","loess",4.94039198539077,0.31121458981429,5.12689375899606
"257",2018-06-19,"C","loess",4.96458537192347,0.312537067777342,5.15200045554773
"258",2018-06-20,"C","loess",4.98786318393666,0.313944293559255,5.17615701427554
"259",2018-06-21,"C","loess",5.0097667706663,0.315429430425229,5.19888747016566
"260",2018-06-22,"C","loess",5.03226689031698,0.316796448446173,5.2222369783332
"261",2018-06-23,"C","loess",5.0575019439938,0.317896531929818,5.24842466538035
"262",2018-06-24,"C","loess",5.08526474528357,0.318793567411384,5.27723552352392
"263",2018-06-25,"C","loess",5.11534810777306,0.319559014114307,5.30845454498073
"264",2018-06-26,"C","loess",5.14754484504906,0.320269502800256,5.3418667219676
"265",2018-06-27,"C","loess",5.18164777069837,0.321004509525746,5.37725704670134
"266",2018-06-28,"C","loess",5.21744969830777,0.321844056062071,5.41441051139877
"267",2018-06-29,"C","loess",5.25474344146406,0.322866419931332,5.4531121082767
"268",2018-06-30,"C","loess",5.29332181375401,0.324145868505835,5.49314682955195
"269",2018-07-01,"C","loess",5.33297762876442,0.325750461282984,5.53429966744133
"270",2018-07-02,"C","loess",5.37350370008208,0.327739989168458,5.57635561416166
"271",2018-07-03,"C","loess",5.41469284129378,0.330164135776249,5.61909966192976
"272",2018-07-04,"C","loess",5.4563378659863,0.333060950178856,5.66231680296243
